chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_48825	4CHOL7a,27DONE	chemical	4
http://purl.obolibrary.org/obo/CHEBI_18105	Fru 1-P	chemical	5
http://purl.obolibrary.org/obo/CHEBI_15494	25(S) DHCA-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_34306	20-HETE	chemical	3
http://purl.obolibrary.org/obo/CHEBI_1301	22b-HCHOL	chemical	2
http://purl.obolibrary.org/obo/CHEBI_140274	?12-PGJ3	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15936	D-xylose	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16039	ITP	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16144	SELP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_64174	xenobiotic	chemical	1
http://purl.obolibrary.org/obo/CHEBI_73747	uridine residue	chemical	1
http://purl.obolibrary.org/obo/CHEBI_64729	GSSeH	chemical	5
http://purl.obolibrary.org/obo/CHEBI_28119	TCDD	chemical	1
http://purl.obolibrary.org/obo/CHEBI_24402	GSL	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15793	3HAA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17283	PI3P	chemical	31
http://purl.obolibrary.org/obo/CHEBI_17748	Thy-dRib	chemical	1
http://purl.obolibrary.org/obo/CHEBI_48861	phys-ent-participant7619	chemical	2
http://purl.obolibrary.org/obo/CHEBI_27905	Phenyl sulfate	chemical	2
http://purl.obolibrary.org/obo/CHEBI_86335	S-HNK1 carbohydrate	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16000	ETA	chemical	10
http://purl.obolibrary.org/obo/CHEBI_27393	3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15533	Octanoyl-CoA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_4866	E2-SO4	chemical	2
http://purl.obolibrary.org/obo/CHEBI_28879	Sialic acid	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17347	TES	chemical	2
http://purl.obolibrary.org/obo/CHEBI_32551	L-lysine	chemical	1
http://purl.obolibrary.org/obo/CHEBI_77635	CaPO4	chemical	1
http://purl.obolibrary.org/obo/CHEBI_7896	PALM(-)	chemical	1
http://purl.obolibrary.org/obo/CHEBI_52974	TCS-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_18413	FGAM	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17388	1PYR-5COOH	chemical	7
http://purl.obolibrary.org/obo/CHEBI_15442	PSDP	chemical	3
http://purl.obolibrary.org/obo/CHEBI_27847	MIT	chemical	3
http://purl.obolibrary.org/obo/CHEBI_17126	CAR	chemical	21
http://purl.obolibrary.org/obo/CHEBI_17489	cAMP	chemical	51
http://purl.obolibrary.org/obo/CHEBI_15763	NAMN	chemical	12
http://purl.obolibrary.org/obo/CHEBI_17925	Glc	chemical	67
http://purl.obolibrary.org/obo/CHEBI_15538	Phytanoyl-CoA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_18191	TXN-S2	chemical	1
http://purl.obolibrary.org/obo/CHEBI_86361	GlcNAc-beta1,4-GlcNAc	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15449	aMbHBUT-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_29101	Na+	chemical	273
http://purl.obolibrary.org/obo/CHEBI_16077	G1P	chemical	14
http://purl.obolibrary.org/obo/CHEBI_16946	L-KYN	chemical	5
http://purl.obolibrary.org/obo/CHEBI_17960	OPROP	chemical	1
http://purl.obolibrary.org/obo/CHEBI_30882	2OGA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_140248	7,17-diHp-DPAn-3	chemical	3
http://purl.obolibrary.org/obo/CHEBI_37642	25(R) THCA-CoA	chemical	5
http://purl.obolibrary.org/obo/CHEBI_16424	Phenylacetaldehyde	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15473	crotonyl-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_75129	Neu5Ac-2,6-Gal-R	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17141	2AET	chemical	3
http://purl.obolibrary.org/obo/CHEBI_86988	2oxo-PALM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16695	UMP	chemical	24
