reaction.stId,control_event.dbId,active_unit.stId
R-HSA-177933,9624433,R-HSA-179837
R-HSA-8853792,8854772,R-HSA-8853797
R-HSA-2424486,2396614,R-HSA-2396556
R-HSA-2424484,2396614,R-HSA-2396556
R-HSA-2396594,2396614,R-HSA-2396556
R-HSA-2395801,2396614,R-HSA-2396556
R-HSA-2395412,2396596,R-HSA-58268
R-HSA-2730843,2730895,R-HSA-1861712
R-HSA-2730884,2730895,R-HSA-1861712
R-HSA-2730851,2730895,R-HSA-1861712
R-HSA-2730886,2730895,R-HSA-1861712
R-HSA-453200,453196,R-HSA-58268
R-HSA-114688,139838,R-HSA-111854
R-HSA-167683,167688,R-HSA-166540
R-HSA-166544,198204,R-HSA-3008784
R-HSA-2029268,2029255,R-HSA-1861712
R-HSA-2029271,2029257,R-HSA-74693
R-HSA-4420117,4420144,R-HSA-195382
R-HSA-212710,212705,R-HSA-179803
R-HSA-392195,432075,R-HSA-391959
R-HSA-418579,432078,R-HSA-391956
R-HSA-2065357,2065406,R-HSA-2065391
R-HSA-9617583,9617586,R-HSA-9611355
R-HSA-2022403,2022410,R-HSA-2022352
R-HSA-183130,183125,R-HSA-182453
R-HSA-173631,173630,R-HSA-173604
R-HSA-173626,173628,R-HSA-173554
R-HSA-2161907,2161852,R-HSA-2318769
R-HSA-2161917,2161852,R-HSA-2318769
R-HSA-392870,432083,R-HSA-391834
R-HSA-1112666,1112664,R-HSA-1169086
R-HSA-9606162,9606155,R-HSA-984807
R-HSA-9606159,9606161,R-HSA-9606165
R-HSA-983707,983699,R-HSA-983586
R-HSA-983703,983699,R-HSA-983586
R-HSA-2089943,2089928,R-HSA-2089937
R-HSA-168162,450334,R-HSA-168170
R-HSA-168162,450334,R-HSA-450353
R-HSA-2730856,2730883,R-HSA-2685646
R-HSA-2730840,2730857,R-HSA-2029115
R-HSA-3238999,450239,R-HSA-450258
R-HSA-450333,450239,R-HSA-450258
R-HSA-3238999,450239,R-HSA-450229
R-HSA-450333,450239,R-HSA-450229
R-HSA-389158,389160,R-HSA-74787
R-HSA-202365,202288,R-HSA-74787
R-HSA-2045911,2045912,R-HSA-1045152
R-HSA-2076220,2076231,R-HSA-1045152
R-HSA-2243938,198624,R-HSA-165662
R-HSA-6795290,198624,R-HSA-165662
R-HSA-198640,198624,R-HSA-165662
R-HSA-187959,187957,R-HSA-187967
R-HSA-68913,68509,R-HSA-68507
R-HSA-8848436,8848440,R-HSA-8848007
R-HSA-170868,171178,R-HSA-170863
R-HSA-170843,170856,R-HSA-170866
R-HSA-3656484,170860,R-HSA-170866
R-HSA-170846,170860,R-HSA-170866
R-HSA-1549526,1549514,R-HSA-1181336
R-HSA-1181149,1226002,R-HSA-1181136
R-HSA-2470508,2470476,R-HSA-1181110
R-HSA-1181355,1181348,R-HSA-1181336
R-NUL-1181349,1181353,R-HSA-205867
R-HSA-1225894,1225901,R-HSA-201656
R-HSA-1181156,1181151,R-HSA-1181136
R-HSA-2220988,157355,R-HSA-9013333
R-NUL-9604300,157355,R-HSA-9013333
R-HSA-9604294,157355,R-HSA-9013333
R-NUL-2197556,157355,R-HSA-9013333
R-HSA-157640,157355,R-HSA-9013333
R-HSA-9013361,157355,R-HSA-9013333
R-HSA-157353,157355,R-HSA-9013333
R-HSA-187575,187571,R-HSA-187547
R-HSA-187520,187499,R-HSA-68365
R-HSA-188390,188393,R-HSA-187967
R-HSA-168136,450228,R-HSA-450253
R-HSA-168136,450228,R-HSA-450319
R-HSA-168136,450228,R-HSA-450311
R-HSA-450222,450303,R-HSA-198703
R-HSA-3000327,3000326,R-HSA-3000318
R-HSA-3000310,3000312,R-HSA-2574832
R-HSA-2574840,2574833,R-HSA-174254
R-HSA-4088024,4088033,R-HSA-68889
R-HSA-174104,174219,R-HSA-174191
R-HSA-4419948,4419955,R-HSA-3632863
R-HSA-2984258,2984249,R-HSA-2984227
R-HSA-2990880,2990918,R-HSA-2984248
R-HSA-2214351,2214352,R-HSA-3000318
R-HSA-2172678,2172687,R-HSA-2245219
R-HSA-2294580,2294577,R-HSA-3002800
R-HSA-69754,76013,R-HSA-68889
R-HSA-69756,69755,R-HSA-68889
R-HSA-3000335,3000336,R-HSA-1168601
R-HSA-8853419,8853423,R-HSA-174254
R-HSA-8854041,8854036,R-HSA-8854030
R-HSA-8853444,8853442,R-HSA-174254
R-HSA-6805126,6805129,R-HSA-4655360
R-HSA-6805103,6805092,R-HSA-2574832
R-HSA-3239014,3239013,R-HSA-3239018
